-1 1:1.41421 2:8 3:8 4:0.608963 5:4.07031 6:85.4457 7:-1 8:-1 
-1 1:2.23607 2:5 3:3 4:-1.30043 5:0.747833 6:84.6979 7:-1 8:-1 
-1 1:1.41421 2:3 3:0 4:-2.32181 5:0.986549 6:85.6845 7:-1 8:-1 
-1 1:1 2:0 3:0 4:1.60761 5:1.25694 6:86.9414 7:-1 8:-1 
-1 1:1 2:0 3:0 4:-0.10202 5:1.21354 6:88.1549 7:-1 8:-1 
-1 1:0 2:0 3:0 4:0.163929 5:0.380203 6:87.7747 7:-1 8:-1 
-1 1:1.41421 2:0 3:0 4:-6.30154 5:0.985237 6:88.76 7:-1 8:-1 
-1 1:1 2:0 3:0 4:-2.2144 5:2.24133 6:91.0013 7:-1 8:-1 
-1 1:0 2:0 3:0 4:0.25219 5:0.0364609 6:90.9648 7:-1 8:-1 
-1 1:0 2:0 3:0 4:0.763321 5:0.259979 6:90.7049 7:-1 8:-1 
-1 1:0 2:0 3:0 4:0.774059 5:1.03777 6:89.6671 7:-1 8:-1 
-1 1:0 2:0 3:0 4:0.587898 5:0.723091 6:88.944 7:-1 8:-1 
-1 1:0 2:0 3:0 4:0.0715141 5:0.151909 6:88.7921 7:-1 8:-1 
-1 1:0 2:0 3:0 4:0.395317 5:0.240448 6:88.5517 7:-1 8:-1 
-1 1:0 2:0 3:0 4:0.377998 5:0.0611954 6:88.6128 7:-1 8:-1 
-1 1:0 2:0 3:0 4:0.228252 5:0.0195312 6:88.5933 7:-1 8:-1 
-1 1:0 2:0 3:0 4:0.238163 5:0.15451 6:88.4388 7:-1 8:-1 
-1 1:0 2:0 3:0 4:0.276493 5:0.0394974 6:88.4783 7:-1 8:-1 
-1 1:0 2:0 3:0 4:-0.894577 5:0.161888 6:88.6402 7:-1 8:-1 
-1 1:0 2:0 3:0 4:0.664886 5:0.0850677 6:88.7253 7:-1 8:-1 
-1 1:0 2:0 3:0 4:-0.723873 5:0.472221 6:89.1975 7:-1 8:-1 
-1 1:0 2:0 3:0 4:-0.385708 5:0.63195 6:89.8294 7:3.04908 8:1 
-1 1:1.41421 2:0 3:0 4:-0.874706 5:3.45876 6:93.2882 7:-1 8:-1 
-1 1:0 2:0 3:0 4:0.115196 5:0.511284 6:93.7995 7:-1 8:-1 
-1 1:0 2:0 3:0 4:-1.37747 5:0.450958 6:94.2504 7:-1 8:-1 
-1 1:0 2:0 3:0 4:-1.06447 5:0.888451 6:95.1389 7:-1 8:-1 
-1 1:0 2:0 3:0 4:0.200264 5:1.13542 6:96.2743 7:-1 8:-1 
-1 1:0 2:0 3:0 4:-0.723309 5:1.02387 6:97.2982 7:-1 8:-1 
-1 1:0 2:0 3:0 4:-1.251 5:0.377602 6:97.6758 7:-1 8:-1 
-1 1:0 2:0 3:0 4:0.283813 5:0.104599 6:97.5712 7:-1 8:-1 
-1 1:0 2:0 3:0 4:-0.489883 5:0.0416718 6:97.5295 7:-1 8:-1 
-1 1:1 2:0 3:0 4:2.65482 5:2.59115 6:100.121 7:-1 8:-1 
-1 1:0 2:0 3:0 4:-0.715393 5:0.0776901 6:100.043 7:-1 8:-1 
-1 1:0 2:0 3:0 4:-0.692253 5:0.0585938 6:100.102 7:-1 8:-1 
-1 1:0 2:0 3:0 4:-0.275539 5:0.00216675 6:100.104 7:-1 8:-1 
-1 1:0 2:0 3:0 4:0.310108 5:0.349396 6:100.453 7:-1 8:-1 
-1 1:0 2:0 3:0 4:1.74705 5:0.820747 6:101.274 7:-1 8:-1 
-1 1:0 2:0 3:0 4:1.35014 5:1.2717 6:102.546 7:-1 8:-1 
-1 1:0 2:0 3:0 4:3.8106 5:1.49566 6:104.041 7:-1 8:-1 
-1 1:0 2:0 3:0 4:7.6266 5:0.896706 6:104.938 7:3.71059 8:0.927648 
-1 1:1 2:0 3:0 4:5.70252 5:0.679253 6:104.259 7:3.72412 8:0.931029 
-1 1:5.09902 2:0 3:0 4:25.3158 5:8.97527 6:95.2834 7:3.8318 8:0.95795 
-1 1:3 2:0 3:0 4:6.13495 5:1.5658 6:93.7176 7:3.82398 8:0.955941 
-1 1:2 2:0 3:0 4:5.39262 5:0.121193 6:93.8388 7:3.82058 8:0.95509 
-1 1:4 2:0 3:0 4:6.65414 5:1.32528 6:92.5135 7:3.82256 8:0.955586 
-1 1:1.41421 2:0 3:0 4:1.05239 5:1.82767 6:94.3412 7:3.84724 8:0.961601 
-1 1:4.12311 2:1 3:1 4:8.56174 5:6.23939 6:100.581 7:3.82098 8:0.955192 
-1 1:2 2:1 3:0 4:1.34199 5:1.74493 6:102.326 7:3.80933 8:0.952334 
-1 1:1 2:0 3:0 4:0.762326 5:0.503784 6:101.822 7:3.80568 8:0.951367 
-1 1:2 2:0 3:0 4:0.634879 5:1.35317 6:103.175 7:3.79785 8:0.949463 
-1 1:1.41421 2:0 3:0 4:-0.310074 5:1.32726 6:104.502 7:3.79203 8:0.948008 
-1 1:1 2:0 3:0 4:-0.0568991 5:0.994354 6:103.508 7:3.799 8:0.949749 
-1 1:0 2:0 3:0 4:-0.457592 5:0.219543 6:103.288 7:3.78564 8:0.94641 
-1 1:0 2:0 3:0 4:0.0418596 5:0.514397 6:102.774 7:3.78224 8:0.945561 
-1 1:1.41421 2:0 3:0 4:1.16864 5:1.22309 6:103.997 7:3.73065 8:0.932663 
-1 1:1 2:0 3:0 4:-0.529493 5:2.43036 6:106.427 7:3.77701 8:0.9442 
-1 1:0 2:0 3:0 4:0.940037 5:2.25545 6:104.172 7:3.78827 8:0.947068 
-1 1:0 2:0 3:0 4:-0.00887871 5:0.0464401 6:104.125 7:3.78727 8:0.946817 
-1 1:0 2:0 3:0 4:-0.0408611 5:0.00998688 6:104.115 7:3.79921 8:0.949802 
1 1:0 2:0 3:0 4:-0.147875 5:0.0238647 6:104.092 7:3.74662 8:0.936654 
1 1:0 2:0 3:0 4:0.194435 5:0.0173645 6:104.074 7:3.85502 8:0.963755 
1 1:1 2:0 3:0 4:0.0571766 5:1.8967 6:105.971 7:3.8404 8:0.9601 
1 1:0 2:0 3:0 4:0.404299 5:0.0460129 6:106.017 7:3.83344 8:0.958359 
1 1:1 2:0 3:0 4:-0.366617 5:1.59766 6:104.419 7:3.80211 8:0.950527 
1 1:1 2:0 3:0 4:0.487032 5:2.20616 6:106.625 7:3.8223 8:0.955575 
1 1:1 2:0 3:0 4:-0.0112019 5:1.93099 6:104.694 7:3.82232 8:0.955579 
1 1:0 2:0 3:0 4:-0.232006 5:0.12326 6:104.571 7:3.78086 8:0.945216 
1 1:0 2:0 3:0 4:0.118219 5:0.183159 6:104.388 7:3.81705 8:0.954263 
1 1:0 2:0 3:0 4:-0.137596 5:0.000862122 6:104.389 7:3.82865 8:0.957163 
1 1:0 2:0 3:0 4:0.414082 5:0.0490494 6:104.438 7:3.80335 8:0.950838 
1 1:0 2:0 3:0 4:-0.0600758 5:0.051651 6:104.386 7:3.82017 8:0.955043 
1 1:0 2:0 3:0 4:-0.369492 5:0.253471 6:104.133 7:3.8473 8:0.961825 
1 1:0 2:0 3:0 4:0.0419712 5:0.457031 6:104.59 7:3.85223 8:0.963056 
1 1:0 2:0 3:0 4:-0.261623 5:0.259117 6:104.331 7:3.85022 8:0.962555 
1 1:0 2:0 3:0 4:-0.0478687 5:0.00650787 6:104.324 7:3.84259 8:0.960647 
1 1:1 2:0 3:0 4:0.43059 5:0.26606 6:104.59 7:3.84485 8:0.961213 
1 1:1 2:0 3:0 4:0.971941 5:1.4171 6:106.007 7:3.85401 8:0.963503 
1 1:2 2:0 3:0 4:-1.50989 5:0.96888 6:106.976 7:3.86567 8:0.966364 
1 1:1.41421 2:0 3:0 4:1.4114 5:4.22626 6:102.75 7:-1 8:-1 
1 1:1 2:0 3:0 4:0.00417328 5:0.0030365 6:102.753 7:3.73412 8:0.933529 
-1 1:2.23607 2:0 3:0 4:0.134146 5:3.66537 6:106.418 7:3.73115 8:0.932788 
-1 1:0 2:0 3:0 4:0.0041008 5:0 6:106.418 7:3.82896 8:0.957239 
-1 1:1 2:0 3:0 4:7.73215 5:2.01823 6:108.437 7:3.81894 8:0.954735 
-1 1:1.41421 2:0 3:0 4:0.851318 5:1.56337 6:110 7:3.80867 8:0.952169 
-1 1:4.12311 2:0 3:0 4:-8.55657 5:7.37717 6:102.623 7:3.87927 8:0.969819 
-1 1:1.41421 2:0 3:0 4:-0.16357 5:2.39626 6:105.019 7:3.88126 8:0.970315 
-1 1:2.82843 2:0 3:0 4:7.62434 5:3.27084 6:108.29 7:3.89219 8:0.973047 
-1 1:0 2:0 3:0 4:0.295618 5:0.371964 6:108.662 7:3.91343 8:0.978356 
-1 1:0 2:0 3:0 4:3.79313 5:0.00737762 6:108.669 7:3.91297 8:0.978243 
-1 1:1 2:0 3:0 4:-0.800728 5:1.84071 6:110.51 7:3.90851 8:0.977127 
-1 1:1 2:0 3:0 4:0.167662 5:0.154518 6:110.664 7:3.91446 8:0.978614 
-1 1:2.23607 2:1 3:1 4:-10.741 5:4.30209 6:106.362 7:3.89814 8:0.974536 
-1 1:0 2:0 3:1 4:0.163355 5:0.0473099 6:106.41 7:3.89724 8:0.974309 
-1 1:0 2:0 3:1 4:0.25469 5:0.042099 6:106.452 7:3.8895 8:0.972374 
-1 1:0 2:0 3:1 4:0 5:0 6:106.452 7:3.91098 8:0.977745 
-1 1:0 2:0 3:1 4:-0.250618 5:0.00434113 6:106.456 7:3.92032 8:0.980079 
-1 1:1 2:0 3:1 4:-0.0711517 5:0.270401 6:106.727 7:3.92571 8:0.981428 
-1 1:1 2:0 3:1 4:-0.192793 5:0.338104 6:106.388 7:3.93379 8:0.983448 
-1 1:1.41421 2:0 3:1 4:0.0287628 5:1.55556 6:104.833 7:3.93284 8:0.98321 
